Latitude,Longtitude,Noise (PLdB)
14,-106,85.13261778126557
14,-105,86.07289248171844
14,-104,86.52035859402508
14,-103,87.30924383469821
14,-102,87.56835461554593
14,-101,87.8019165097693
14,-100,87.58576643561639
14,-99,87.36556823188242
14,-98,87.43864912492072
14,-97,87.38980652358055
14,-96,87.42057873406142
14,-95,87.63733772454026
14,-94,87.65290910019317
14,-93,87.43705633170586
14,-92,87.44384512299149
14,-91,87.24212384268553
14,-90,87.45718663010078
14,-89,86.98924203474925
14,-88,87.63479791789413
14,-87,85.12941308142706
14,-86,84.4362527329827
14,-85,83.84497837514208
14,-84,83.2743415852863
14,-83,82.11162836647108
14,-82,80.81367773774528
14,-81,80.99687390965984
14,-80,80.92206932773666
14,-79,81.01023461762935
14,-78,81.78227363771424
14,-77,82.1086619957147
14,-76,82.28693566608541
14,-75,82.02472385153185
14,-74,81.55911807161648
14,-73,80.85317707866108
14,-72,81.04300527037272
14,-71,81.33745025202958
14,-70,81.40276774306741
14,-69,81.97472285104011
14,-68,81.47208951407197
14,-67,82.318907083337
14,-66,83.62717895253613
14,-65,84.44672553067934
14,-64,83.98927696631836
14,-63,84.52278111456347
14,-62,85.35045263970243
14,-61,85.11429550847936
14,-60,84.18546438803828
14,-59,85.48454698542639
14,-58,85.62296717539165
14,-57,85.03654056875405
14,-56,83.58568770713245
14,-55,82.94592490346133
14,-54,82.60553176637092
14,-53,81.52108632511107
15,-144,80.53990555014227
15,-143,80.00375668499188
15,-142,79.30159994305019
15,-141,79.4230019560238
15,-140,78.7993013256064
15,-139,79.5685032637758
15,-138,79.52730448865148
15,-137,79.21653727024798
15,-136,79.07172620692668
15,-135,79.18311999283551
15,-134,79.55570168631934
15,-133,79.99656098532064
15,-132,80.66728157192068
15,-131,80.67738825342994
15,-130,80.92570466436695
15,-129,81.35358906591325
15,-128,81.93691069318061
15,-127,81.68056833440659
15,-126,81.48124080648543
15,-125,82.34055290770529
15,-124,82.74503669996847
15,-123,82.7201678201855
15,-122,82.34116769965702
15,-121,80.5403881339032
15,-120,80.72492597399398
15,-119,82.65465340280613
15,-118,82.9835401450467
15,-117,83.19435446265423
15,-116,83.86970310347573
15,-115,84.39843497611459
15,-114,84.97652407564107
15,-113,85.1938903816694
